,Min_leafs,Depth,Coef,Accuracy,Recall,Precision,F1,crit
0,30,,0.1,0.7342995169082126,0.3389830508474576,0.9523809523809523,0.5,gini
1,30,2,0.1,0.7342995169082126,0.3389830508474576,0.9523809523809523,0.5,gini
2,30,3,0.1,0.7342995169082126,0.3389830508474576,0.9523809523809523,0.5,gini
3,30,5,0.1,0.7342995169082126,0.3389830508474576,0.9523809523809523,0.5,gini
4,30,7,0.1,0.7342995169082126,0.3389830508474576,0.9523809523809523,0.5,gini
5,30,10,0.1,0.7342995169082126,0.3389830508474576,0.9523809523809523,0.5,gini
6,30,,0.1,0.48007246376811596,0.6024653312788906,0.3933601609657948,0.4759586122945831,entropy
7,30,2,0.1,0.48007246376811596,0.6024653312788906,0.3933601609657948,0.4759586122945831,entropy
8,30,3,0.1,0.48007246376811596,0.6024653312788906,0.3933601609657948,0.4759586122945831,entropy
9,30,5,0.1,0.48007246376811596,0.6024653312788906,0.3933601609657948,0.4759586122945831,entropy
10,30,7,0.1,0.48007246376811596,0.6024653312788906,0.3933601609657948,0.4759586122945831,entropy
11,30,10,0.1,0.48007246376811596,0.6024653312788906,0.3933601609657948,0.4759586122945831,entropy
12,30,,0.2,0.8403532608695652,0.7061855670103093,0.8652631578947368,0.7776726584673604,gini
13,30,2,0.2,0.8403532608695652,0.7061855670103093,0.8652631578947368,0.7776726584673604,gini
14,30,3,0.2,0.8403532608695652,0.7061855670103093,0.8652631578947368,0.7776726584673604,gini
15,30,5,0.2,0.8403532608695652,0.7061855670103093,0.8652631578947368,0.7776726584673604,gini
16,30,7,0.2,0.8403532608695652,0.7061855670103093,0.8652631578947368,0.7776726584673604,gini
17,30,10,0.2,0.8403532608695652,0.7061855670103093,0.8652631578947368,0.7776726584673604,gini
18,30,,0.2,0.7822690217391305,0.7534364261168385,0.7124289195775793,0.7323590814196242,entropy
19,30,2,0.2,0.7822690217391305,0.7534364261168385,0.7124289195775793,0.7323590814196242,entropy
20,30,3,0.2,0.7822690217391305,0.7534364261168385,0.7124289195775793,0.7323590814196242,entropy
21,30,5,0.2,0.7822690217391305,0.7534364261168385,0.7124289195775793,0.7323590814196242,entropy
22,30,7,0.2,0.7822690217391305,0.7534364261168385,0.7124289195775793,0.7323590814196242,entropy
23,30,10,0.2,0.7822690217391305,0.7534364261168385,0.7124289195775793,0.7323590814196242,entropy
24,30,,0.3,0.8470496894409938,0.6947162426614482,0.8964646464646465,0.782800441014333,gini
25,30,2,0.3,0.8470496894409938,0.6947162426614482,0.8964646464646465,0.782800441014333,gini
26,30,3,0.3,0.8470496894409938,0.6947162426614482,0.8964646464646465,0.782800441014333,gini
27,30,5,0.3,0.8470496894409938,0.6947162426614482,0.8964646464646465,0.782800441014333,gini
28,30,7,0.3,0.8470496894409938,0.6947162426614482,0.8964646464646465,0.782800441014333,gini
29,30,10,0.3,0.8470496894409938,0.6947162426614482,0.8964646464646465,0.782800441014333,gini
30,30,,0.3,0.6789596273291926,0.2896281800391389,0.7455919395465995,0.4171952078928823,entropy
31,30,2,0.3,0.6789596273291926,0.2896281800391389,0.7455919395465995,0.4171952078928823,entropy
32,30,3,0.3,0.6789596273291926,0.2896281800391389,0.7455919395465995,0.4171952078928823,entropy
33,30,5,0.3,0.6789596273291926,0.2896281800391389,0.7455919395465995,0.4171952078928823,entropy
34,30,7,0.3,0.6789596273291926,0.2896281800391389,0.7455919395465995,0.4171952078928823,entropy
35,30,10,0.3,0.6789596273291926,0.2896281800391389,0.7455919395465995,0.4171952078928823,entropy
36,30,,0.5,0.8597826086956522,0.7168262653898769,0.9113043478260869,0.8024502297090352,gini
37,30,2,0.5,0.8597826086956522,0.7168262653898769,0.9113043478260869,0.8024502297090352,gini
38,30,3,0.5,0.8597826086956522,0.7168262653898769,0.9113043478260869,0.8024502297090352,gini
39,30,5,0.5,0.8597826086956522,0.7168262653898769,0.9113043478260869,0.8024502297090352,gini
40,30,7,0.5,0.8597826086956522,0.7168262653898769,0.9113043478260869,0.8024502297090352,gini
41,30,10,0.5,0.8597826086956522,0.7168262653898769,0.9113043478260869,0.8024502297090352,gini
42,30,,0.5,0.6804347826086956,0.3953488372093023,0.664367816091954,0.4957118353344769,entropy
43,30,2,0.5,0.6804347826086956,0.3953488372093023,0.664367816091954,0.4957118353344769,entropy
44,30,3,0.5,0.6804347826086956,0.3953488372093023,0.664367816091954,0.4957118353344769,entropy
45,30,5,0.5,0.6804347826086956,0.3953488372093023,0.664367816091954,0.4957118353344769,entropy
46,30,7,0.5,0.6804347826086956,0.3953488372093023,0.664367816091954,0.4957118353344769,entropy
47,30,10,0.5,0.6804347826086956,0.3953488372093023,0.664367816091954,0.4957118353344769,entropy
48,30,,0.7,0.8505434782608695,0.6981981981981982,0.9090909090909091,0.7898089171974523,gini
49,30,2,0.7,0.8505434782608695,0.6981981981981982,0.9090909090909091,0.7898089171974523,gini
50,30,3,0.7,0.8505434782608695,0.6981981981981982,0.9090909090909091,0.7898089171974523,gini
51,30,5,0.7,0.8505434782608695,0.6981981981981982,0.9090909090909091,0.7898089171974523,gini
52,30,7,0.7,0.8505434782608695,0.6981981981981982,0.9090909090909091,0.7898089171974523,gini
53,30,10,0.7,0.8505434782608695,0.6981981981981982,0.9090909090909091,0.7898089171974523,gini
54,30,,0.7,0.6503623188405797,0.3963963963963964,0.5986394557823129,0.4769647696476965,entropy
55,30,2,0.7,0.6503623188405797,0.3963963963963964,0.5986394557823129,0.4769647696476965,entropy
