,Min_leafs,Depth,Coef,Accuracy,Recall,Precision,F1
0,30.0,,0.1,0.5353260869565217,0.18258859784283513,0.33146853146853145,0.23546944858420266
1,30.0,,0.2,0.7618885869565217,0.5609965635738832,0.7746144721233689,0.6507224713502741
2,30.0,,0.3,0.8229813664596274,0.6898238747553816,0.8353080568720379,0.7556270096463023
3,30.0,,0.5,0.5994565217391304,0.7811217510259918,0.49738675958188155,0.6077700904736563
4,30.0,,0.7,0.7318840579710145,0.48873873873873874,0.7587412587412588,0.5945205479452055
5,30.0,,0.9,0.6413043478260869,0.4423076923076923,0.6052631578947368,0.5111111111111111
6,30.0,2.0,0.1,0.5353260869565217,0.18258859784283513,0.33146853146853145,0.23546944858420266
7,30.0,2.0,0.2,0.7618885869565217,0.5609965635738832,0.7746144721233689,0.6507224713502741
8,30.0,2.0,0.3,0.8229813664596274,0.6898238747553816,0.8353080568720379,0.7556270096463023
9,30.0,2.0,0.5,0.5994565217391304,0.7811217510259918,0.49738675958188155,0.6077700904736563
10,30.0,2.0,0.7,0.7318840579710145,0.48873873873873874,0.7587412587412588,0.5945205479452055
11,30.0,2.0,0.9,0.6413043478260869,0.4423076923076923,0.6052631578947368,0.5111111111111111
12,30.0,3.0,0.1,0.5353260869565217,0.18258859784283513,0.33146853146853145,0.23546944858420266
13,30.0,3.0,0.2,0.7618885869565217,0.5609965635738832,0.7746144721233689,0.6507224713502741
14,30.0,3.0,0.3,0.8229813664596274,0.6898238747553816,0.8353080568720379,0.7556270096463023
15,30.0,3.0,0.5,0.5994565217391304,0.7811217510259918,0.49738675958188155,0.6077700904736563
16,30.0,3.0,0.7,0.7318840579710145,0.48873873873873874,0.7587412587412588,0.5945205479452055
17,30.0,3.0,0.9,0.6413043478260869,0.4423076923076923,0.6052631578947368,0.5111111111111111
18,30.0,5.0,0.1,0.5353260869565217,0.18258859784283513,0.33146853146853145,0.23546944858420266
19,30.0,5.0,0.2,0.7618885869565217,0.5609965635738832,0.7746144721233689,0.6507224713502741
20,30.0,5.0,0.3,0.8229813664596274,0.6898238747553816,0.8353080568720379,0.7556270096463023
21,30.0,5.0,0.5,0.5994565217391304,0.7811217510259918,0.49738675958188155,0.6077700904736563
22,30.0,5.0,0.7,0.7318840579710145,0.48873873873873874,0.7587412587412588,0.5945205479452055
23,30.0,5.0,0.9,0.6413043478260869,0.4423076923076923,0.6052631578947368,0.5111111111111111
24,30.0,7.0,0.1,0.5353260869565217,0.18258859784283513,0.33146853146853145,0.23546944858420266
25,30.0,7.0,0.2,0.7618885869565217,0.5609965635738832,0.7746144721233689,0.6507224713502741
26,30.0,7.0,0.3,0.8229813664596274,0.6898238747553816,0.8353080568720379,0.7556270096463023
27,30.0,7.0,0.5,0.5994565217391304,0.7811217510259918,0.49738675958188155,0.6077700904736563
28,30.0,7.0,0.7,0.7318840579710145,0.48873873873873874,0.7587412587412588,0.5945205479452055
29,30.0,7.0,0.9,0.6413043478260869,0.4423076923076923,0.6052631578947368,0.5111111111111111
30,30.0,10.0,0.1,0.5353260869565217,0.18258859784283513,0.33146853146853145,0.23546944858420266
31,30.0,10.0,0.2,0.7618885869565217,0.5609965635738832,0.7746144721233689,0.6507224713502741
32,30.0,10.0,0.3,0.8229813664596274,0.6898238747553816,0.8353080568720379,0.7556270096463023
33,30.0,10.0,0.5,0.5994565217391304,0.7811217510259918,0.49738675958188155,0.6077700904736563
34,30.0,10.0,0.7,0.7318840579710145,0.48873873873873874,0.7587412587412588,0.5945205479452055
35,30.0,10.0,0.9,0.6413043478260869,0.4423076923076923,0.6052631578947368,0.5111111111111111
